Card_Id,Disp_Id,Type,Issued
1247,13660,Gold,2019-06-13 00:00:00
652,4211,Gold,2019-06-16 00:00:00
559,3573,Gold,2019-06-17 00:00:00
719,4663,Gold,2019-06-24 00:00:00
397,2513,Gold,2019-06-24 00:00:00
107,593,Gold,2019-06-27 00:00:00
661,4270,Gold,2019-07-03 00:00:00
484,3116,Gold,2019-07-04 00:00:00
501,3197,Gold,2019-07-09 00:00:00
422,2650,Silver,2019-07-11 00:00:00
705,4555,Gold,2019-07-12 00:00:00
410,2569,Gold,2019-07-20 00:00:00
136,778,Gold,2019-07-28 00:00:00
592,3782,Silver,2019-08-07 00:00:00
262,1647,Silver,2019-08-24 00:00:00
18,128,Gold,2019-08-25 00:00:00
3,41,Diamond,2019-09-03 00:00:00
98,537,Gold,2019-09-06 00:00:00
167,1011,Gold,2019-09-15 00:00:00
97,531,Silver,2019-09-19 00:00:00
699,4532,Gold,2019-09-26 00:00:00
342,2157,Gold,2019-09-27 00:00:00
713,4627,Gold,2019-09-30 00:00:00
118,652,Gold,2019-10-22 00:00:00
783,5433,Silver,2019-10-24 00:00:00
1103,11189,Gold,2019-11-04 00:00:00
504,3230,Silver,2019-11-06 00:00:00
261,1629,Diamond,2019-11-09 00:00:00
296,1876,Diamond,2019-11-13 00:00:00
113,629,Silver,2019-11-16 00:00:00
92,508,Gold,2019-11-20 00:00:00
1225,13268,Gold,2019-11-22 00:00:00
393,2498,Silver,2019-12-03 00:00:00
695,4507,Gold,2019-12-15 00:00:00
666,4328,Silver,2019-12-25 00:00:00
462,2978,Gold,2019-12-30 00:00:00
85,489,Gold,2019-12-31 00:00:00
337,2141,Gold,2020-01-01 00:00:00
771,5233,Gold,2020-01-08 00:00:00
379,2431,Gold,2020-01-12 00:00:00
106,592,Gold,2020-01-14 00:00:00
606,3883,Gold,2020-01-22 00:00:00
427,2688,Diamond,2020-01-25 00:00:00
202,1228,Gold,2020-02-04 00:00:00
814,5911,Gold,2020-02-15 00:00:00
1064,10328,Gold,2020-02-17 00:00:00
14,112,Gold,2020-02-17 00:00:00
423,2657,Gold,2020-02-19 00:00:00
989,9119,Gold,2020-02-21 00:00:00
364,2329,Gold,2020-02-29 00:00:00
267,1691,Silver,2020-03-09 00:00:00
621,3970,Silver,2020-03-19 00:00:00
1139,11836,Silver,2020-03-26 00:00:00
725,4715,Silver,2020-03-30 00:00:00
150,859,Gold,2020-03-30 00:00:00
302,1900,Gold,2020-03-31 00:00:00
372,2395,Gold,2020-03-31 00:00:00
499,3187,Gold,2020-04-03 00:00:00
229,1384,Gold,2020-04-05 00:00:00
289,1831,Silver,2020-04-08 00:00:00
1100,11101,Silver,2020-04-10 00:00:00
37,238,Gold,2020-04-20 00:00:00
286,1812,Diamond,2020-04-21 00:00:00
157,907,Gold,2020-04-24 00:00:00
216,1310,Silver,2020-04-24 00:00:00
977,8968,Gold,2020-05-08 00:00:00
183,1080,Gold,2020-05-08 00:00:00
945,8342,Silver,2020-05-09 00:00:00
44,268,Silver,2020-05-17 00:00:00
600,3829,Gold,2020-05-20 00:00:00
127,714,Gold,2020-05-23 00:00:00
764,5159,Gold,2020-05-29 00:00:00
204,1239,Silver,2020-05-30 00:00:00
1134,11742,Gold,2020-05-31 00:00:00
312,1971,Gold,2020-06-08 00:00:00
313,1980,Gold,2020-06-17 00:00:00
641,4116,Gold,2020-06-18 00:00:00
731,4751,Gold,2020-06-23 00:00:00
84,487,Gold,2020-06-26 00:00:00
265,1680,Gold,2020-06-28 00:00:00
1176,12502,Diamond,2020-07-03 00:00:00
1233,13382,Gold,2020-07-06 00:00:00
407,2555,Gold,2020-07-11 00:00:00
320,2045,Gold,2020-07-11 00:00:00
1187,12635,Diamond,2020-07-17 00:00:00
121,666,Silver,2020-07-22 00:00:00
1055,10171,Gold,2020-07-24 00:00:00
303,1912,Gold,2020-08-01 00:00:00
651,4201,Silver,2020-08-02 00:00:00
736,4789,Gold,2020-08-03 00:00:00
24,153,Silver,2020-08-05 00:00:00
587,3763,Silver,2020-08-05 00:00:00
119,655,Gold,2020-08-08 00:00:00
670,4343,Gold,2020-08-08 00:00:00
227,1380,Gold,2020-08-10 00:00:00
1164,12269,Gold,2020-08-12 00:00:00
1043,9974,Silver,2020-08-14 00:00:00
278,1779,Gold,2020-08-15 00:00:00
103,584,Silver,2020-08-17 00:00:00
673,4353,Silver,2020-08-31 00:00:00
38,242,Gold,2020-08-31 00:00:00
470,3036,Gold,2020-09-02 00:00:00
890,7422,Gold,2020-09-08 00:00:00
514,3267,Gold,2020-09-10 00:00:00
741,4832,Gold,2020-09-11 00:00:00
882,7195,Gold,2020-09-11 00:00:00
12,83,Silver,2020-09-11 00:00:00
152,876,Gold,2020-09-16 00:00:00
163,984,Gold,2020-09-18 00:00:00
708,4568,Silver,2020-09-24 00:00:00
1087,10887,Gold,2020-10-06 00:00:00
854,6753,Gold,2020-10-07 00:00:00
601,3830,Gold,2020-10-08 00:00:00
99,548,Diamond,2020-10-09 00:00:00
547,3477,Gold,2020-10-11 00:00:00
40,255,Gold,2020-10-13 00:00:00
220,1333,Gold,2020-10-13 00:00:00
390,2490,Gold,2020-10-14 00:00:00
776,5263,Gold,2020-10-19 00:00:00
197,1202,Silver,2020-10-21 00:00:00
516,3279,Gold,2020-10-25 00:00:00
381,2440,Gold,2020-10-27 00:00:00
1010,9413,Gold,2020-10-27 00:00:00
813,5873,Silver,2020-10-28 00:00:00
272,1754,Silver,2020-10-28 00:00:00
772,5243,Gold,2020-10-30 00:00:00
528,3356,Gold,2020-10-31 00:00:00
1014,9452,Gold,2020-11-02 00:00:00
87,493,Gold,2020-11-02 00:00:00
88,496,Gold,2020-11-04 00:00:00
441,2785,Gold,2020-11-05 00:00:00
562,3583,Gold,2020-11-07 00:00:00
690,4479,Gold,2020-11-07 00:00:00
374,2423,Gold,2020-11-08 00:00:00
57,347,Gold,2020-11-09 00:00:00
722,4684,Gold,2020-11-14 00:00:00
300,1890,Gold,2020-11-20 00:00:00
117,649,Silver,2020-11-23 00:00:00
541,3427,Silver,2020-11-26 00:00:00
294,1861,Gold,2020-12-04 00:00:00
10,77,Gold,2020-12-07 00:00:00
710,4588,Silver,2020-12-10 00:00:00
408,2560,Gold,2020-12-10 00:00:00
363,2324,Silver,2020-12-11 00:00:00
697,4518,Gold,2020-12-11 00:00:00
433,2724,Gold,2020-12-12 00:00:00
642,4137,Gold,2020-12-13 00:00:00
243,1478,Gold,2020-12-13 00:00:00
162,967,Silver,2020-12-23 00:00:00
594,3794,Silver,2020-12-27 00:00:00
609,3893,Gold,2020-12-29 00:00:00
1111,11288,Gold,2020-12-31 00:00:00
786,5478,Gold,2020-12-31 00:00:00
1118,11393,Gold,2021-01-02 00:00:00
175,1040,Gold,2021-01-03 00:00:00
565,3601,Diamond,2021-01-06 00:00:00
714,4638,Gold,2021-01-09 00:00:00
137,786,Silver,2021-01-10 00:00:00
22,138,Gold,2021-01-11 00:00:00
325,2102,Gold,2021-01-12 00:00:00
194,1182,Gold,2021-01-13 00:00:00
668,4340,Gold,2021-01-14 00:00:00
706,4559,Diamond,2021-01-16 00:00:00
850,6644,Gold,2021-01-16 00:00:00
298,1885,Gold,2021-01-17 00:00:00
105,590,Gold,2021-01-17 00:00:00
1036,9735,Gold,2021-01-17 00:00:00
292,1842,Diamond,2021-01-18 00:00:00
112,626,Silver,2021-01-19 00:00:00
678,4405,Diamond,2021-01-20 00:00:00
1093,11011,Gold,2021-01-20 00:00:00
681,4426,Gold,2021-01-22 00:00:00
582,3733,Gold,2021-01-22 00:00:00
729,4740,Silver,2021-01-22 00:00:00
54,334,Gold,2021-01-24 00:00:00
258,1607,Gold,2021-01-26 00:00:00
534,3387,Gold,2021-01-29 00:00:00
667,4333,Gold,2021-01-31 00:00:00
195,1194,Gold,2021-02-03 00:00:00
199,1213,Gold,2021-02-07 00:00:00
490,3136,Diamond,2021-02-07 00:00:00
347,2184,Gold,2021-02-11 00:00:00
210,1253,Gold,2021-02-16 00:00:00
293,1850,Gold,2021-02-17 00:00:00
189,1157,Gold,2021-02-19 00:00:00
324,2074,Gold,2021-02-19 00:00:00
578,3689,Silver,2021-02-21 00:00:00
266,1690,Gold,2021-03-04 00:00:00
568,3615,Gold,2021-03-05 00:00:00
171,1027,Gold,2021-03-05 00:00:00
679,4416,Gold,2021-03-06 00:00:00
841,6468,Gold,2021-03-06 00:00:00
513,3260,Gold,2021-03-15 00:00:00
647,4171,Silver,2021-03-21 00:00:00
665,4318,Gold,2021-03-24 00:00:00
400,2529,Gold,2021-04-06 00:00:00
617,3944,Diamond,2021-04-09 00:00:00
709,4587,Silver,2021-04-11 00:00:00
387,2481,Gold,2021-04-18 00:00:00
226,1378,Gold,2021-04-18 00:00:00
350,2226,Gold,2021-04-20 00:00:00
539,3415,Gold,2021-04-23 00:00:00
583,3735,Gold,2021-04-24 00:00:00
576,3671,Gold,2021-04-30 00:00:00
232,1396,Gold,2021-05-01 00:00:00
730,4749,Gold,2021-05-02 00:00:00
616,3943,Gold,2021-05-05 00:00:00
564,3590,Gold,2021-05-06 00:00:00
82,474,Gold,2021-05-07 00:00:00
1173,12442,Gold,2021-05-08 00:00:00
426,2686,Gold,2021-05-09 00:00:00
791,5521,Gold,2021-05-12 00:00:00
572,3636,Silver,2021-05-16 00:00:00
375,2425,Silver,2021-05-17 00:00:00
69,438,Gold,2021-05-17 00:00:00
607,3885,Gold,2021-05-17 00:00:00
155,900,Silver,2021-05-17 00:00:00
275,1762,Gold,2021-05-20 00:00:00
847,6610,Gold,2021-05-20 00:00:00
399,2527,Gold,2021-05-22 00:00:00
305,1914,Gold,2021-05-23 00:00:00
430,2713,Gold,2021-05-26 00:00:00
349,2214,Gold,2021-05-26 00:00:00
256,1583,Gold,2021-05-26 00:00:00
50,309,Gold,2021-05-28 00:00:00
939,8217,Silver,2021-05-29 00:00:00
110,608,Gold,2021-05-31 00:00:00
184,1089,Diamond,2021-06-03 00:00:00
90,503,Gold,2021-06-04 00:00:00
597,3813,Silver,2021-06-06 00:00:00
471,3037,Gold,2021-06-09 00:00:00
494,3173,Gold,2021-06-10 00:00:00
211,1271,Gold,2021-06-10 00:00:00
353,2259,Gold,2021-06-11 00:00:00
213,1289,Diamond,2021-06-11 00:00:00
1009,9409,Diamond,2021-06-14 00:00:00
297,1883,Gold,2021-06-15 00:00:00
801,5684,Gold,2021-06-15 00:00:00
748,4923,Gold,2021-06-16 00:00:00
133,742,Gold,2021-06-16 00:00:00
316,2013,Gold,2021-06-17 00:00:00
145,819,Gold,2021-06-17 00:00:00
270,1736,Silver,2021-06-17 00:00:00
1178,12542,Gold,2021-06-19 00:00:00
222,1345,Gold,2021-06-19 00:00:00
241,1461,Gold,2021-06-20 00:00:00
280,1793,Gold,2021-06-22 00:00:00
675,4376,Gold,2021-06-23 00:00:00
108,597,Gold,2021-06-25 00:00:00
1196,12805,Gold,2021-06-27 00:00:00
287,1819,Silver,2021-06-28 00:00:00
443,2808,Gold,2021-06-29 00:00:00
1138,11825,Gold,2021-06-29 00:00:00
733,4764,Silver,2021-06-30 00:00:00
311,1954,Gold,2021-07-01 00:00:00
120,662,Gold,2021-07-03 00:00:00
122,667,Silver,2021-07-03 00:00:00
476,3079,Gold,2021-07-06 00:00:00
781,5366,Gold,2021-07-07 00:00:00
588,3765,Gold,2021-07-08 00:00:00
403,2538,Silver,2021-07-12 00:00:00
139,797,Gold,2021-07-14 00:00:00
553,3522,Gold,2021-07-14 00:00:00
625,3987,Gold,2021-07-17 00:00:00
413,2592,Silver,2021-07-20 00:00:00
591,3779,Gold,2021-07-23 00:00:00
694,4504,Gold,2021-07-24 00:00:00
512,3259,Gold,2021-07-24 00:00:00
1095,11023,Diamond,2021-07-28 00:00:00
1059,10235,Gold,2021-07-29 00:00:00
75,457,Gold,2021-07-29 00:00:00
383,2469,Gold,2021-07-30 00:00:00
115,638,Gold,2021-07-30 00:00:00
884,7286,Diamond,2021-07-31 00:00:00
454,2921,Gold,2021-08-01 00:00:00
688,4472,Gold,2021-08-01 00:00:00
936,8030,Gold,2021-08-02 00:00:00
663,4295,Gold,2021-08-06 00:00:00
637,4094,Silver,2021-08-06 00:00:00
511,3257,Silver,2021-08-06 00:00:00
1220,13160,Gold,2021-08-08 00:00:00
628,4007,Gold,2021-08-11 00:00:00
718,4660,Gold,2021-08-12 00:00:00
238,1452,Diamond,2021-08-17 00:00:00
546,3465,Diamond,2021-08-19 00:00:00
660,4265,Silver,2021-08-19 00:00:00
491,3151,Gold,2021-08-21 00:00:00
140,798,Gold,2021-08-22 00:00:00
502,3201,Gold,2021-08-22 00:00:00
598,3821,Gold,2021-08-23 00:00:00
355,2267,Gold,2021-08-28 00:00:00
43,267,Gold,2021-08-29 00:00:00
610,3894,Gold,2021-08-29 00:00:00
182,1067,Diamond,2021-08-31 00:00:00
41,256,Gold,2021-08-31 00:00:00
91,504,Silver,2021-09-01 00:00:00
252,1529,Gold,2021-09-02 00:00:00
495,3181,Gold,2021-09-02 00:00:00
259,1610,Gold,2021-09-05 00:00:00
187,1140,Gold,2021-09-07 00:00:00
185,1098,Gold,2021-09-07 00:00:00
1025,9625,Gold,2021-09-08 00:00:00
19,130,Gold,2021-09-09 00:00:00
431,2715,Diamond,2021-09-12 00:00:00
356,2268,Gold,2021-09-13 00:00:00
767,5204,Gold,2021-09-14 00:00:00
537,3405,Gold,2021-09-15 00:00:00
703,4546,Gold,2021-09-17 00:00:00
671,4345,Gold,2021-09-17 00:00:00
896,7567,Gold,2021-09-18 00:00:00
343,2164,Gold,2021-09-21 00:00:00
279,1791,Gold,2021-09-21 00:00:00
622,3981,Silver,2021-09-22 00:00:00
612,3906,Gold,2021-09-22 00:00:00
206,1243,Gold,2021-09-22 00:00:00
190,1165,Gold,2021-09-23 00:00:00
1203,12893,Gold,2021-09-26 00:00:00
234,1424,Gold,2021-09-29 00:00:00
30,202,Gold,2021-10-01 00:00:00
327,2117,Gold,2021-10-03 00:00:00
49,305,Gold,2021-10-03 00:00:00
1115,11375,Silver,2021-10-03 00:00:00
698,4522,Diamond,2021-10-07 00:00:00
874,7127,Diamond,2021-10-07 00:00:00
247,1500,Silver,2021-10-08 00:00:00
656,4235,Gold,2021-10-08 00:00:00
436,2759,Gold,2021-10-09 00:00:00
124,688,Gold,2021-10-10 00:00:00
633,4078,Gold,2021-10-12 00:00:00
428,2698,Gold,2021-10-13 00:00:00
638,4100,Diamond,2021-10-14 00:00:00
153,886,Diamond,2021-10-19 00:00:00
596,3811,Gold,2021-10-19 00:00:00
664,4316,Gold,2021-10-22 00:00:00
251,1525,Gold,2021-10-23 00:00:00
552,3519,Gold,2021-10-25 00:00:00
9,76,Gold,2021-10-25 00:00:00
11,79,Diamond,2021-10-25 00:00:00
650,4194,Gold,2021-10-26 00:00:00
59,365,Gold,2021-10-27 00:00:00
1016,9525,Gold,2021-10-28 00:00:00
359,2299,Gold,2021-10-29 00:00:00
438,2768,Gold,2021-10-30 00:00:00
94,513,Gold,2021-11-06 00:00:00
1056,10220,Gold,2021-11-06 00:00:00
273,1758,Gold,2021-11-07 00:00:00
947,8366,Gold,2021-11-08 00:00:00
93,510,Gold,2021-11-09 00:00:00
762,5132,Gold,2021-11-10 00:00:00
254,1578,Gold,2021-11-11 00:00:00
611,3896,Gold,2021-11-13 00:00:00
648,4188,Gold,2021-11-18 00:00:00
373,2401,Gold,2021-11-18 00:00:00
579,3699,Gold,2021-11-18 00:00:00
555,3544,Gold,2021-11-19 00:00:00
329,2122,Diamond,2021-11-19 00:00:00
707,4560,Gold,2021-11-21 00:00:00
51,321,Gold,2021-11-21 00:00:00
382,2445,Diamond,2021-11-22 00:00:00
472,3056,Gold,2021-11-24 00:00:00
237,1445,Gold,2021-11-25 00:00:00
1234,13386,Gold,2021-11-28 00:00:00
86,490,Gold,2021-11-28 00:00:00
540,3425,Gold,2021-11-29 00:00:00
493,3167,Gold,2021-11-30 00:00:00
532,3382,Gold,2021-11-30 00:00:00
590,3769,Gold,2021-12-02 00:00:00
942,8295,Gold,2021-12-02 00:00:00
33,221,Silver,2021-12-03 00:00:00
739,4821,Gold,2021-12-03 00:00:00
45,272,Gold,2021-12-05 00:00:00
25,158,Gold,2021-12-06 00:00:00
200,1220,Diamond,2021-12-09 00:00:00
268,1707,Diamond,2021-12-11 00:00:00
507,3245,Gold,2021-12-11 00:00:00
569,3616,Gold,2021-12-12 00:00:00
282,1799,Diamond,2021-12-13 00:00:00
536,3404,Gold,2021-12-13 00:00:00
1022,9606,Gold,2021-12-13 00:00:00
1105,11237,Gold,2021-12-13 00:00:00
326,2104,Gold,2021-12-14 00:00:00
380,2434,Gold,2021-12-15 00:00:00
723,4699,Gold,2021-12-15 00:00:00
81,473,Gold,2021-12-17 00:00:00
521,3310,Gold,2021-12-17 00:00:00
608,3890,Gold,2021-12-17 00:00:00
589,3766,Silver,2021-12-20 00:00:00
281,1795,Gold,2021-12-22 00:00:00
891,7434,Gold,2021-12-23 00:00:00
774,5249,Gold,2021-12-25 00:00:00
566,3606,Gold,2021-12-25 00:00:00
575,3667,Diamond,2021-12-25 00:00:00
154,887,Gold,2021-12-28 00:00:00
130,722,Gold,2021-12-29 00:00:00
434,2739,Gold,2021-12-30 00:00:00
83,483,Gold,2022-01-05 00:00:00
593,3787,Silver,2022-01-06 00:00:00
481,3102,Silver,2022-01-06 00:00:00
304,1913,Gold,2022-01-06 00:00:00
149,858,Gold,2022-01-07 00:00:00
659,4258,Gold,2022-01-08 00:00:00
517,3291,Gold,2022-01-09 00:00:00
368,2361,Gold,2022-01-10 00:00:00
482,3104,Silver,2022-01-13 00:00:00
689,4473,Gold,2022-01-15 00:00:00
557,3567,Gold,2022-01-17 00:00:00
897,7576,Gold,2022-01-18 00:00:00
803,5727,Gold,2022-01-19 00:00:00
401,2532,Gold,2022-01-19 00:00:00
760,5126,Gold,2022-01-19 00:00:00
274,1759,Gold,2022-01-21 00:00:00
28,174,Silver,2022-01-22 00:00:00
904,7672,Gold,2022-01-22 00:00:00
474,3066,Silver,2022-01-24 00:00:00
214,1292,Gold,2022-01-24 00:00:00
55,335,Gold,2022-01-25 00:00:00
340,2155,Gold,2022-01-25 00:00:00
724,4701,Diamond,2022-01-27 00:00:00
67,429,Silver,2022-01-28 00:00:00
236,1440,Silver,2022-01-29 00:00:00
68,434,Gold,2022-01-31 00:00:00
348,2203,Gold,2022-02-02 00:00:00
65,414,Gold,2022-02-02 00:00:00
1239,13442,Silver,2022-02-02 00:00:00
165,996,Silver,2022-02-04 00:00:00
249,1517,Gold,2022-02-06 00:00:00
246,1492,Gold,2022-02-08 00:00:00
720,4674,Silver,2022-02-09 00:00:00
518,3292,Diamond,2022-02-10 00:00:00
459,2958,Diamond,2022-02-11 00:00:00
655,4231,Gold,2022-02-13 00:00:00
624,3985,Silver,2022-02-13 00:00:00
398,2522,Gold,2022-02-14 00:00:00
796,5579,Gold,2022-02-20 00:00:00
100,562,Diamond,2022-02-21 00:00:00
574,3640,Silver,2022-02-23 00:00:00
360,2308,Gold,2022-02-24 00:00:00
391,2493,Gold,2022-02-24 00:00:00
283,1800,Gold,2022-02-25 00:00:00
726,4721,Gold,2022-02-26 00:00:00
132,731,Silver,2022-02-26 00:00:00
463,2982,Gold,2022-02-26 00:00:00
21,132,Gold,2022-02-26 00:00:00
529,3357,Gold,2022-02-27 00:00:00
946,8359,Silver,2022-02-28 00:00:00
419,2626,Gold,2022-02-28 00:00:00
248,1512,Gold,2022-03-01 00:00:00
215,1296,Gold,2022-03-02 00:00:00
225,1359,Gold,2022-03-03 00:00:00
643,4157,Gold,2022-03-04 00:00:00
844,6567,Silver,2022-03-04 00:00:00
672,4349,Gold,2022-03-07 00:00:00
276,1765,Gold,2022-03-07 00:00:00
1230,13312,Gold,2022-03-08 00:00:00
599,3824,Diamond,2022-03-08 00:00:00
72,447,Gold,2022-03-09 00:00:00
1199,12826,Gold,2022-03-09 00:00:00
48,295,Gold,2022-03-10 00:00:00
58,358,Gold,2022-03-11 00:00:00
334,2133,Gold,2022-03-13 00:00:00
2,19,Gold,2022-03-13 00:00:00
228,1382,Silver,2022-03-15 00:00:00
244,1480,Gold,2022-03-16 00:00:00
1189,12683,Gold,2022-03-17 00:00:00
198,1211,Silver,2022-03-18 00:00:00
34,225,Gold,2022-03-20 00:00:00
535,3395,Gold,2022-03-22 00:00:00
269,1718,Diamond,2022-03-22 00:00:00
515,3268,Gold,2022-03-23 00:00:00
290,1833,Gold,2022-03-24 00:00:00
315,2005,Silver,2022-03-24 00:00:00
784,5461,Gold,2022-03-24 00:00:00
63,378,Silver,2022-03-27 00:00:00
417,2619,Gold,2022-03-30 00:00:00
619,3958,Gold,2022-04-01 00:00:00
191,1168,Silver,2022-04-02 00:00:00
965,8636,Gold,2022-04-02 00:00:00
444,2815,Diamond,2022-04-03 00:00:00
370,2374,Gold,2022-04-03 00:00:00
156,906,Silver,2022-04-07 00:00:00
492,3166,Gold,2022-04-09 00:00:00
52,326,Diamond,2022-04-10 00:00:00
71,441,Gold,2022-04-11 00:00:00
775,5253,Diamond,2022-04-11 00:00:00
330,2124,Gold,2022-04-11 00:00:00
510,3256,Gold,2022-04-13 00:00:00
170,1020,Gold,2022-04-16 00:00:00
338,2146,Gold,2022-04-16 00:00:00
755,5002,Gold,2022-04-16 00:00:00
451,2888,Silver,2022-04-16 00:00:00
263,1668,Diamond,2022-04-17 00:00:00
602,3846,Silver,2022-04-18 00:00:00
498,3186,Gold,2022-04-18 00:00:00
933,7959,Silver,2022-04-21 00:00:00
89,497,Gold,2022-04-22 00:00:00
761,5128,Diamond,2022-04-23 00:00:00
176,1049,Gold,2022-04-25 00:00:00
1102,11183,Gold,2022-04-25 00:00:00
109,605,Gold,2022-04-26 00:00:00
421,2644,Gold,2022-04-27 00:00:00
918,7796,Gold,2022-04-27 00:00:00
680,4417,Gold,2022-04-29 00:00:00
824,6196,Gold,2022-04-29 00:00:00
448,2864,Gold,2022-04-29 00:00:00
1194,12781,Silver,2022-04-30 00:00:00
331,2125,Diamond,2022-05-01 00:00:00
734,4765,Gold,2022-05-01 00:00:00
235,1438,Gold,2022-05-02 00:00:00
284,1807,Gold,2022-05-07 00:00:00
412,2585,Gold,2022-05-09 00:00:00
64,402,Gold,2022-05-10 00:00:00
186,1133,Diamond,2022-05-12 00:00:00
458,2951,Diamond,2022-05-14 00:00:00
465,2995,Gold,2022-05-15 00:00:00
457,2948,Silver,2022-05-16 00:00:00
456,2929,Gold,2022-05-16 00:00:00
645,4166,Gold,2022-05-17 00:00:00
906,7683,Diamond,2022-05-18 00:00:00
756,5012,Gold,2022-05-18 00:00:00
218,1322,Gold,2022-05-18 00:00:00
717,4654,Gold,2022-05-19 00:00:00
8,60,Silver,2022-05-20 00:00:00
700,4533,Silver,2022-05-22 00:00:00
757,5013,Silver,2022-05-22 00:00:00
126,707,Gold,2022-05-23 00:00:00
358,2287,Silver,2022-05-23 00:00:00
639,4112,Gold,2022-05-23 00:00:00
212,1280,Gold,2022-05-24 00:00:00
415,2609,Gold,2022-05-25 00:00:00
161,963,Gold,2022-05-25 00:00:00
207,1244,Gold,2022-05-25 00:00:00
1216,13097,Gold,2022-05-26 00:00:00
649,4190,Gold,2022-05-29 00:00:00
475,3075,Diamond,2022-05-31 00:00:00
586,3756,Gold,2022-05-31 00:00:00
446,2841,Gold,2022-06-04 00:00:00
823,6178,Gold,2022-06-05 00:00:00
644,4165,Gold,2022-06-05 00:00:00
111,615,Gold,2022-06-05 00:00:00
469,3026,Gold,2022-06-07 00:00:00
17,127,Gold,2022-06-07 00:00:00
558,3568,Gold,2022-06-07 00:00:00
192,1169,Gold,2022-06-08 00:00:00
631,4061,Silver,2022-06-09 00:00:00
317,2015,Gold,2022-06-10 00:00:00
716,4651,Silver,2022-06-11 00:00:00
7,56,Gold,2022-06-11 00:00:00
863,6906,Gold,2022-06-12 00:00:00
123,679,Gold,2022-06-12 00:00:00
770,5232,Gold,2022-06-15 00:00:00
143,816,Gold,2022-06-15 00:00:00
785,5468,Gold,2022-06-16 00:00:00
646,4167,Gold,2022-06-17 00:00:00
160,954,Gold,2022-06-17 00:00:00
669,4341,Gold,2022-06-19 00:00:00
101,566,Gold,2022-06-19 00:00:00
332,2126,Gold,2022-06-19 00:00:00
362,2320,Diamond,2022-06-21 00:00:00
173,1031,Gold,2022-06-21 00:00:00
16,116,Gold,2022-06-23 00:00:00
365,2332,Gold,2022-06-23 00:00:00
701,4534,Gold,2022-06-24 00:00:00
80,471,Gold,2022-06-25 00:00:00
831,6275,Gold,2022-06-29 00:00:00
354,2265,Diamond,2022-06-30 00:00:00
250,1522,Gold,2022-06-30 00:00:00
142,810,Gold,2022-07-01 00:00:00
991,9149,Silver,2022-07-01 00:00:00
1192,12736,Gold,2022-07-02 00:00:00
738,4808,Silver,2022-07-02 00:00:00
627,3994,Gold,2022-07-05 00:00:00
696,4516,Gold,2022-07-05 00:00:00
260,1616,Gold,2022-07-05 00:00:00
768,5223,Gold,2022-07-06 00:00:00
233,1418,Gold,2022-07-07 00:00:00
450,2880,Gold,2022-07-07 00:00:00
440,2782,Gold,2022-07-07 00:00:00
301,1899,Gold,2022-07-07 00:00:00
485,3124,Gold,2022-07-08 00:00:00
567,3611,Gold,2022-07-08 00:00:00
66,425,Gold,2022-07-08 00:00:00
1002,9261,Gold,2022-07-09 00:00:00
453,2911,Diamond,2022-07-12 00:00:00
277,1777,Diamond,2022-07-12 00:00:00
571,3627,Silver,2022-07-13 00:00:00
687,4471,Gold,2022-07-14 00:00:00
640,4115,Gold,2022-07-14 00:00:00
